COMMENT_ID;AUTHOR;DATE;CONTENT;CLASS
z13lgffb5w3ddx1ul22qy1wxspy5cpkz504;dharma pal;29/05/2015 2:30;Nice song?;0
z123dbgb0mqjfxbtz22ucjc5jvzcv3ykj;Tiza Arellano;29/05/2015 0:14;I love song ?;0
z12quxxp2vutflkxv04cihggzt2azl34pms0k;Prìñçe?? Âli? ?øvê Dømíñø Mâ?i?™ ?;28/05/2015 21:00;I love song ?;0
z12icv3ysqvlwth2c23eddlykyqut5z1h;Eric Gonzalez;28/05/2015 20:47;860,000,000 lets make it first female to reach one billion!! Share it and replay it! ?;0
z133stly3kete3tly22petvwdpmghrlli;Analena López;28/05/2015 17:08;shakira is best for worldcup?;0
z12myn4rltf4ejddv23mwr3piuapcbl0r;jehoiada wellington;28/05/2015 17:06;The best world cup song ever!!!!?;0
z135vzqy1yrjhluew23kibopnrmqsplux;Kara Cuthbertson;28/05/2015 15:46;I love?;0
z12uujnj2sifvzvav04chpypvofvexpoggg;Sudheer Yadav;28/05/2015 10:28;SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie?;1
z13lvh1qnma4d15sy23lyvqq5riafz52m;Alex John;28/05/2015 7:44;Awesome ?;0
z135hlk5grfwjhmym04ced0gyzrvsn5avuw0k;Nirab Valobasha;27/05/2015 21:31;I like shakira..?;0
z121cvvqftuvuz1ld22pe3agcsepzhhtt;Chelsea Andrews;27/05/2015 20:43;Shakira - Waka Waka <br />LOVE THIS SONG!!!!!!!!!!!!!!!?;0
z12uf5gatnf1dflws04cfrigrxb3zryxtwk0k;Kevin Sosa;27/05/2015 20:04;Why so many disliked??????!!!!!!???;0
z13pihfbwlv5hv4ap04ceh3hvonuhvnxueg;OldSchool Music;27/05/2015 19:00;"I don&#39;t think this song will ever get old ?";0
z13utfk5rny3yzqtj22phlsxmtfuspbcp;Stephen Lister;27/05/2015 16:04;Love song?;0
z13usjdoivinwzsoy04cgv2y0tbjs1s5xn00k;Karolína Hlavatá;27/05/2015 14:41;wery good?;0
z12bhf4rzpjsvjmcw22ghd4j4qeqfthpm04;DubCedSky;27/05/2015 13:51;"Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...?";0
z132i1cj3t2cedajp04cfxcqalbkfzd5fyk0k;akita hachiko;27/05/2015 13:07;Whose watching this in 2015. If so hi-5?;0
z12aw1ah2m2vh30tb22bvl3olkbohlbid04;Benjy Growls;27/05/2015 9:27;"I love this song so much &lt;3<br />Keep em&#39; coming!?";0
z12cydggrzyesrklw23qwzexerqavj11e;monkey moments;27/05/2015 9:24;i love this song thumsb up to you?;0
z12gddhblwz3cf3wc04cgvjajvulwxvb5lw0k;Dr.geetanjali sharma;27/05/2015 9:14;Waka best one?;0
z13xwz5p3xq4zxdyv04cir2ammejxj15n2c;Axy665;27/05/2015 6:57;5 years later i still love this song <br />~Axy665?;0
z135glq5fnnielbbd04cchvr2orkurdgrz40k;celma joao tomas anacuja anacuja celma joao tomas;27/05/2015 6:30;Like?;0
z13zjlpo2nbehxwf322gelhzwmqwgn1mt;Raafat saeed;27/05/2015 4:19;Check out this playlist on YouTube:?;1
z12vv1hgirrhz5bh504cejjrstfkt1kq1po0k;ortiz brown;27/05/2015 2:51;"Her voice sounds weird and plus she&#39;s cute for a blonde?";0
z12pch5bnqyxttpi004ch3b4usa1wjdg5l40k;mike the greek gamer;26/05/2015 21:42;Why there are so many dislikes. This song is so... awesome. It sounds like we MUST STOP BE RACISTS!!! If I could, I would like it 1,000,000,000 times!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?;0
z12julhignjmuzlnv230yzipftzvhjzuh;Aveonne Walker;26/05/2015 21:36;Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk?;0
z12jd30zok2te1ghh04cdphgcqmshld5ncg;MikeTheOne42;26/05/2015 17:19;still watching in 2015...?;0
z12yxbpp3rurin5wc04cf3sqmlrvwlhzgao;Golden Lion;26/05/2015 17:16;Shakira is my favourite singer. Wooooo?;0
